pozycja,imię,liczba,udział,jedna na
77,Apolonia,1282,0.00200034015144541,500
78,Kamila,1223,0.001908280815302446,524
79,Ida,1218,0.0019004791766462628,526
80,Wanda,1203,0.0018770742606777128,533
81,Marika,1139,0.001777213285878566,563
82,Ada,1136,0.001772532302684856,564
83,Jagna,1114,0.0017382050925976492,575
84,Diana,1077,0.0016804729665418924,595
85,Elena,977,0.0015244401934182256,656
86,Rita,902,0.0014074156135754753,711
87,Dagmara,897,0.001399613974919292,714
88,Stefania,876,0.001366847092563322,732
89,Inga,841,0.0013122356219700385,762
90,Olivia,837,0.001305994311045092,766
91,Sandra,832,0.0012981926723889085,770
92,Luiza,815,0.0012716671009578853,786
93,Roksana,812,0.0012669861177641753,789
94,Lilia,812,0.0012669861177641753,789
95,Agnieszka,762,0.0011889697312023417,841
96,Jadwiga,762,0.0011889697312023417,841
97,Emma,727,0.0011343582606090582,882
98,Nel,688,0.0010735054790908282,932
99,Jowita,686,0.001070384823628355,934
100,Monika,686,0.001070384823628355,934
101,Sofia,676,0.0010547815463159882,948
102,Elżbieta,672,0.0010485402353910414,954
103,Karina,662,0.001032936958078675,968
104,Janina,635,0.0009908081093352849,1009
105,Lea,632,0.0009861271261415747,1014
106,Tola,624,0.0009736445042916814,1027
107,Justyna,601,0.000937756966473238,1066
108,Lara,600,0.0009361966387420014,1068
109,Marlena,578,0.0009018694286547946,1109
110,Lila,569,0.0008878264790736646,1126
111,Adela,566,0.0008831454958799546,1132
112,Celina,564,0.0008800248404174812,1136
113,Julita,562,0.000876904184955008,1140
114,Jaśmina,553,0.000862861235373878,1159
115,Natasza,546,0.0008519389412552212,1174
116,Sonia,513,0.0008004481261244112,1249
117,Alina,500,0.0007801638656183344,1282
118,Victoria,448,0.0006990268235940277,1431
119,Krystyna,444,0.000692785512669081,1443
120,Anita,438,0.000683423546281661,1463
121,Felicja,437,0.0006818632185504243,1467
122,Vanessa,434,0.0006771822353567143,1477
123,Ewelina,426,0.000664699613506821,1504
124,Julianna,422,0.0006584583025818743,1519
125,Izabella,407,0.0006350533866133243,1575
126,Noemi,396,0.0006178897815697209,1618
127,Estera,387,0.0006038468319885909,1656
128,Konstancja,382,0.0005960451933324075,1678
129,Judyta,379,0.0005913642101386975,1691
130,Otylia,356,0.0005554766723202541,1800
131,Faustyna,345,0.0005383130672766508,1858
132,Nicola,331,0.0005164684790393375,1936
133,Sabina,320,0.0004993048739957341,2003
134,Mila,317,0.0004946238908020241,2022
135,Paula,306,0.0004774602857584207,2094
136,Livia,302,0.000471218974833474,2122
137,Teresa,288,0.0004493743865961607,2225
138,Inka,281,0.000438452092477504,2281
139,Maya,279,0.0004353314370150306,2297
140,Irena,274,0.0004275297983588473,2339
141,Antonia,266,0.0004150471765089539,2409
142,Gloria,266,0.0004150471765089539,2409
143,Florentyna,264,0.0004119265210464806,2428
144,Sylwia,254,0.0003963232437341139,2523
145,Lucyna,254,0.0003963232437341139,2523
146,Franciszka,254,0.0003963232437341139,2523
147,Oktawia,246,0.00038384062188422054,2605
148,Danuta,243,0.00037915963869051053,2637
149,Malina,237,0.00036979767230309053,2704
150,Amanda,231,0.0003604357059156705,2774
151,Ines,229,0.0003573150504531972,2799
152,Klementyna,225,0.0003510737395282505,2848
153,Milana,222,0.0003463927563345405,2887
154,Adriana,204,0.00031830685717228045,3142
155,Viktoria,203,0.0003167465294410438,3157
156,Tamara,200,0.0003120655462473338,3204
157,Magda,199,0.0003105052185160971,3221
158,Edyta,193,0.0003011432521286771,3321
159,Ola,193,0.0003011432521286771,3321
160,Aneta,187,0.0002917812857412571,3427
161,Ariana,187,0.0002917812857412571,3427
162,Mira,175,0.00027305735296641705,3662
163,Stella,170,0.00026525571431023373,3770
164,Alisa,169,0.00026369538657899705,3792
165,Aurora,169,0.00026369538657899705,3792
166,Jessica,166,0.00025901440338528704,3861
167,Honorata,163,0.00025433342019157704,3932
168,Nicole,162,0.00025277309246034036,3956
169,Kira,160,0.00024965243699786704,4006
170,Józefina,160,0.00024965243699786704,4006
171,Marietta,160,0.00024965243699786704,4006
172,Angelika,156,0.00024341112607292035,4108
173,Jana,156,0.00024341112607292035,4108
174,Larysa,153,0.00023873014287921035,4189
175,Beata,147,0.00022936817649179034,4360
176,Miriam,146,0.00022780784876055366,4390
177,Sophie,141,0.0002200062101043703,4545
178,Emily,140,0.00021844588237313365,4578
179,Tatiana,138,0.0002153252269106603,4644
180,Cecylia,137,0.00021376489917942365,4678
181,Sophia,136,0.00021220457144818696,4712
182,Inez,136,0.00021220457144818696,4712
183,Halina,135,0.0002106442437169503,4747
184,Dobrawa,135,0.0002106442437169503,4747
