pozycja,imię,liczba,udział,jedna na
1,Zuzanna,24673,0.0440467370638484,23
2,Julia,24008,0.04285956565593452,23
3,Zofia,22738,0.040592336049843344,25
4,Maja,21976,0.039231998286188646,25
5,Hanna,21763,0.03885174639162375,26
6,Lena,19911,0.03554551865108765,28
7,Alicja,16127,0.02879024555703332,35
8,Maria,15231,0.027190688291633566,37
9,Oliwia,14895,0.026590854317108656,38
10,Amelia,14038,0.025060920638037686,40
11,Laura,12820,0.022886522480384894,44
12,Wiktoria,12046,0.02150476207478287,47
13,Aleksandra,11897,0.02123876427060367,47
14,Emilia,11764,0.021001329989020896,48
15,Antonina,11496,0.02052289098553079,49
16,Pola,11282,0.020140853870803617,50
17,Marcelina,9852,0.017587989038748204,57
18,Natalia,9850,0.017584418598423652,57
19,Liliana,9507,0.016972088082762807,59
20,Iga,9105,0.016254429577527648,62
21,Helena,8519,0.015208290562433613,66
22,Gabriela,8216,0.01466736885326383,68
23,Michalina,8183,0.014608456587908703,68
24,Anna,7838,0.013992555631923307,71
25,Nadia,7508,0.013403432978372059,75
26,Klara,7277,0.012991047120886183,77
27,Kornelia,6877,0.012276959055975579,81
28,Milena,6322,0.011286161865912114,89
29,Jagoda,5834,0.010414974426721176,96
30,Łucja,5494,0.009807999571547162,102
31,Martyna,5431,0.009695530701323741,103
32,Blanka,5367,0.009581276610938045,104
33,Nikola,5358,0.009565209629477555,105
34,Nela,5026,0.008972516535601754,111
35,Kaja,4928,0.008797564959698655,114
36,Barbara,4609,0.008228079727932448,122
37,Weronika,4410,0.007872820915639421,127
38,Anastazja,4291,0.007660379716328517,131
39,Nina,4268,0.007619319652596156,131
40,Karolina,4212,0.007519347323508672,133
41,Agata,4152,0.007412234113772081,135
42,Magdalena,3838,0.006851674982817256,146
43,Lilianna,3749,0.006692790388374646,149
44,Matylda,3175,0.005668074015227928,176
45,Kinga,3064,0.005469914577215235,183
46,Aniela,3011,0.00537529790861458,186
47,Sara,2886,0.005152145388330016,194
48,Mia,2787,0.004975408592264641,201
49,Róża,2612,0.004662995063866251,214
50,Małgorzata,2427,0.004332729333845096,231
51,Kalina,2422,0.004323803233033714,231
52,Izabela,2413,0.004307736251573225,232
53,Joanna,2400,0.004284528389463631,233
54,Paulina,2396,0.004277387508814525,234
55,Eliza,2350,0.004195267381349805,238
56,Rozalia,2297,0.00410065071274915,244
57,Adrianna,2197,0.003922128696521499,255
58,Katarzyna,2043,0.0036472047915309157,274
59,Marta,2008,0.0035847220858512374,279
60,Ewa,1900,0.003391918308325374,295
61,Marianna,1815,0.0032401745945318705,309
62,Liwia,1811,0.0032330337138827647,309
63,Melania,1795,0.0032044701912863406,312
64,Dominika,1793,0.0032008997509617872,312
65,Urszula,1756,0.0031348466049575564,319
66,Lidia,1723,0.0030759343396024315,325
67,Klaudia,1695,0.003025948175058689,330
68,Aurelia,1689,0.00301523685408503,332
69,Malwina,1648,0.0029420428274316932,340
70,Patrycja,1618,0.002888486222563398,346
71,Gaja,1476,0.002634984959520133,380
72,Bianka,1429,0.002551079611893137,392
73,Olga,1384,0.0024707447045906935,405
74,Daria,1231,0.002197606019762387,455
75,Dorota,1141,0.002036936205157501,491
76,Zoja,1133,0.0020226544438592888,494
77,Kamila,1111,0.0019833796002892055,504
78,Apolonia,1053,0.001879836830877168,532
79,Marika,1006,0.0017959314832501718,557
80,Ada,1005,0.0017941462630878954,557
81,Wanda,1000,0.0017852201622765127,560
82,Ida,997,0.0017798645017896833,562
83,Jagna,936,0.0016709660718908159,598
