IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
IWONA,KOBIETA,29
IDALIA,KOBIETA,29
LIA,KOBIETA,29
SOFIJA,KOBIETA,29
ABIGAIL,KOBIETA,28
LILY,KOBIETA,28
EVA,KOBIETA,28
LILLY,KOBIETA,27
JOLANTA,KOBIETA,27
LUNA,KOBIETA,26
KSENIA,KOBIETA,26
MARIETTA,KOBIETA,25
ZLATA,KOBIETA,25
LEILA,KOBIETA,25
LILLA,KOBIETA,25
SOFIIA,KOBIETA,25
HIACYNTA,KOBIETA,25
BIANCA,KOBIETA,24
BOGUMIŁA,KOBIETA,24
LAILA,KOBIETA,24
INEZ,KOBIETA,24
GRETA,KOBIETA,23
NASTIA,KOBIETA,23
JASMINA,KOBIETA,23
NIKOL,KOBIETA,23
MARYLA,KOBIETA,22
ANIKA,KOBIETA,22
SELENA,KOBIETA,22
LILI,KOBIETA,22
WALERIA,KOBIETA,22
ELEONORA,KOBIETA,21
GABRIELLA,KOBIETA,21
BERENIKA,KOBIETA,21
ALEXANDRA,KOBIETA,21
VERONIKA,KOBIETA,21
HALSZKA,KOBIETA,20
SARAH,KOBIETA,20
CLARA,KOBIETA,20
ALICE,KOBIETA,19
MARZENA,KOBIETA,19
DANIELA,KOBIETA,19
INA,KOBIETA,19
MIRELLA,KOBIETA,19
ARINA,KOBIETA,19
NIKA,KOBIETA,19
HANNAH,KOBIETA,19
LAYLA,KOBIETA,18
ZOYA,KOBIETA,18
ADELINA,KOBIETA,18
LEYLA,KOBIETA,18
IZA,KOBIETA,18
KAYA,KOBIETA,17
ZUZA,KOBIETA,17
GAIA,KOBIETA,17
ISABELLA,KOBIETA,16
MICHELLE,KOBIETA,16
STANISŁAWA,KOBIETA,16
DOBROSŁAWA,KOBIETA,16
ELLA,KOBIETA,16
FLORA,KOBIETA,15
OFELIA,KOBIETA,15
VIVIEN,KOBIETA,15
MIJA,KOBIETA,14
NOELIA,KOBIETA,14
WANESA,KOBIETA,14
ELISA,KOBIETA,14
MIŁOSŁAWA,KOBIETA,14
NELLY,KOBIETA,14
CHLOE,KOBIETA,13
LINDA,KOBIETA,13
LEOKADIA,KOBIETA,13
DOBROMIŁA,KOBIETA,13
LUKRECJA,KOBIETA,13
NELL,KOBIETA,13
CHARLOTTE,KOBIETA,13
ZOSIA,KOBIETA,13
DAGNA,KOBIETA,13
BOŻENA,KOBIETA,13
ASTRID,KOBIETA,12
NATALIE,KOBIETA,12
NADZIEJA,KOBIETA,12
BALBINA,KOBIETA,12
AMINA,KOBIETA,12
AMIRA,KOBIETA,12
LUDWIKA,KOBIETA,12
ARIANNA,KOBIETA,12
SABRINA,KOBIETA,12
LUDMIŁA,KOBIETA,12
JASMINE,KOBIETA,12
EMILIIA,KOBIETA,12
ARLETA,KOBIETA,12
LUCY,KOBIETA,11
PAMELA,KOBIETA,11
MIROSŁAWA,KOBIETA,11
KARMEN,KOBIETA,11
DOBROCHNA,KOBIETA,11
ELIANA,KOBIETA,11
BERNADETA,KOBIETA,11
MARIIA,KOBIETA,11
KATIA,KOBIETA,11
MAJKA,KOBIETA,11
ARIADNA,KOBIETA,11
ARIA,KOBIETA,10
ORIANA,KOBIETA,10
ANGELINA,KOBIETA,10
MARIOLA,KOBIETA,10
KAYLA,KOBIETA,10
DEBORA,KOBIETA,10
LARISA,KOBIETA,10
DAJANA,KOBIETA,10
ELWIRA,KOBIETA,10
ANATOLA,KOBIETA,10
MARITA,KOBIETA,10
MATILDA,KOBIETA,10
OLENA,KOBIETA,10
ALICIA,KOBIETA,10
LILLI,KOBIETA,10
AYLA,KOBIETA,10
OKSANA,KOBIETA,10
HANIA,KOBIETA,10
ISMENA,KOBIETA,10
NAWOJKA,KOBIETA,10
JASMIN,KOBIETA,10
LISA,KOBIETA,10
EVELINA,KOBIETA,9
LINA,KOBIETA,9
JULIANA,KOBIETA,9
DARYNA,KOBIETA,9
MELANIE,KOBIETA,9
ADELAJDA,KOBIETA,9
BELLA,KOBIETA,9
GRACJA,KOBIETA,9
CATALEYA,KOBIETA,9
VERONICA,KOBIETA,9
CORNELIA,KOBIETA,9
SOLOMIIA,KOBIETA,9
MARTINA,KOBIETA,9
MIKA,KOBIETA,9
KATERYNA,KOBIETA,9
MELA,KOBIETA,9
ŻANETA,KOBIETA,9
LEONIA,KOBIETA,9
ANABELLA,KOBIETA,9
KORA,KOBIETA,9
MANUELA,KOBIETA,9
ROSE,KOBIETA,8
ALENA,KOBIETA,8
MARYAM,KOBIETA,8
SOLOMIJA,KOBIETA,8
YASMIN,KOBIETA,8
AMY,KOBIETA,8
ILIANA,KOBIETA,8
ELIZABETH,KOBIETA,8
DŻESIKA,KOBIETA,8
CLAUDIA,KOBIETA,8
ANA,KOBIETA,8
VALENTINA,KOBIETA,8
KATALEJA,KOBIETA,8
KAMELIA,KOBIETA,8
MARGARITA,KOBIETA,8
JENNIFER,KOBIETA,8
JANKA,KOBIETA,8
RENATA,KOBIETA,7
ELINA,KOBIETA,7
MIRELA,KOBIETA,7
CYNTIA,KOBIETA,7
ANASTASIIA,KOBIETA,7
KIARA,KOBIETA,7
FREYA,KOBIETA,7
BRYGIDA,KOBIETA,7
OLEKSANDRA,KOBIETA,7
SALMA,KOBIETA,7
LARISSA,KOBIETA,7
FILOMENA,KOBIETA,7
FLORENCJA,KOBIETA,7
WALENTYNA,KOBIETA,7
SUSANNA,KOBIETA,7
ERIKA,KOBIETA,7
LUISA,KOBIETA,7
SAMIRA,KOBIETA,7
LIJA,KOBIETA,7
VIVIENNE,KOBIETA,7
LEAH,KOBIETA,6
YEVA,KOBIETA,6
KAREN,KOBIETA,6
ANDREA,KOBIETA,6
ERYKA,KOBIETA,6
FRANCESCA,KOBIETA,6
RACHELA,KOBIETA,6
NELI,KOBIETA,6
KASANDRA,KOBIETA,6
FRIDA,KOBIETA,6
ŻAKLINA,KOBIETA,6
ANATOLIA,KOBIETA,6
ALIA,KOBIETA,6
MIIA,KOBIETA,6
VALERIA,KOBIETA,6
MALIKA,KOBIETA,6
LORENA,KOBIETA,6
LEJLA,KOBIETA,6
MAIA,KOBIETA,6
ELIZAVETA,KOBIETA,6
CIRILLA,KOBIETA,6
SIMONA,KOBIETA,6
CAROLINA,KOBIETA,6
MARIE,KOBIETA,6
FLAWIA,KOBIETA,6
CELESTYNA,KOBIETA,6
ANGELA,KOBIETA,6
LUCIA,KOBIETA,6
MELODY,KOBIETA,6
YANA,KOBIETA,6
MARYNA,KOBIETA,5
KRISTINA,KOBIETA,5
WIWIANA,KOBIETA,5
CHIARA,KOBIETA,5
KAIA,KOBIETA,5
AYA,KOBIETA,5
KARLA,KOBIETA,5
SUZANNA,KOBIETA,5
HOLLY,KOBIETA,5
LIGIA,KOBIETA,5
AIDA,KOBIETA,5
MOLLY,KOBIETA,5
AMELIE,KOBIETA,5
MIRANDA,KOBIETA,5
MARY,KOBIETA,5
CARMELA,KOBIETA,5
BLANCA,KOBIETA,5
VERA,KOBIETA,5
ZOË,KOBIETA,5
MEGAN,KOBIETA,5
DARINA,KOBIETA,5
POLIANNA,KOBIETA,5
GRAŻYNA,KOBIETA,5
ALESSIA,KOBIETA,5
LIZA,KOBIETA,5
VIVIAN,KOBIETA,5
GRACJANA,KOBIETA,5
PIA,KOBIETA,5
ŻYWIA,KOBIETA,5
LEIA,KOBIETA,5
MALENA,KOBIETA,5
EUNIKA,KOBIETA,5
WIOLETA,KOBIETA,5
ALMA,KOBIETA,5
ELLIE,KOBIETA,5
TINA,KOBIETA,4
FELICYTA,KOBIETA,4
MARGARYTA,KOBIETA,4
PATRICIA,KOBIETA,4
ROSIE,KOBIETA,4
EMILA,KOBIETA,4
AMARA,KOBIETA,4
NOA,KOBIETA,4
ANASTASIYA,KOBIETA,4
BOGUSŁAWA,KOBIETA,4
ZARINA,KOBIETA,4
WERA,KOBIETA,4
OCTAVIA,KOBIETA,4
IVANKA,KOBIETA,4
VARVARA,KOBIETA,4
LUCJA,KOBIETA,4
FELICIA,KOBIETA,4
ARYA,KOBIETA,4
WARWARA,KOBIETA,4
ULYANA,KOBIETA,4
MARYSIA,KOBIETA,4
ARLETTA,KOBIETA,4
RUTA,KOBIETA,4
REGINA,KOBIETA,4
ANASTASIJA,KOBIETA,4
NADINE,KOBIETA,4
FLORIANNA,KOBIETA,4
DONATA,KOBIETA,4
